p
"[{""id"":Article 45_32013R0153},{},{""id"":Topic_1}]"
"[{""id"":Article 3_32019R1851},{},{""id"":Topic_1}]"
"[{""id"":Article 8_32019R0885},{},{""id"":Topic_1}]"
"[{""id"":Article 7_32019R0885},{},{""id"":Topic_1}]"
"[{""id"":Article 4_32019R0885},{},{""id"":Topic_1}]"
"[{""id"":Article 3_32019R0885},{},{""id"":Topic_1}]"
"[{""id"":Article 2_32019R0885},{},{""id"":Topic_1}]"
"[{""id"":Article 7_32019R0820},{},{""id"":Topic_1}]"
"[{""id"":Article 6_32019R0820},{},{""id"":Topic_1}]"
"[{""id"":Article 3_32019R0820},{},{""id"":Topic_1}]"
"[{""id"":Article 13_32019R0819},{},{""id"":Topic_1}]"
"[{""id"":Article 12_32019R0819},{},{""id"":Topic_1}]"
"[{""id"":Article 11_32019R0819},{},{""id"":Topic_1}]"
"[{""id"":Article 10_32019R0819},{},{""id"":Topic_1}]"
"[{""id"":Article 6_32019R0819},{},{""id"":Topic_1}]"
"[{""id"":Article 3_32019R0819},{},{""id"":Topic_1}]"
"[{""id"":Article 9_32019R0758},{},{""id"":Topic_1}]"
"[{""id"":Article 7_32019R0758},{},{""id"":Topic_1}]"
"[{""id"":Article 6_32019R0758},{},{""id"":Topic_1}]"
"[{""id"":Article 5_32019R0758},{},{""id"":Topic_1}]"
"[{""id"":Article 4_32019R0758},{},{""id"":Topic_1}]"
"[{""id"":Article 3_32019R0758},{},{""id"":Topic_1}]"
"[{""id"":Article 2_32019R0758},{},{""id"":Topic_1}]"
"[{""id"":Article 18_32019R0411},{},{""id"":Topic_1}]"
"[{""id"":Article 17_32019R0411},{},{""id"":Topic_1}]"
